shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
14S-54-01-E,45.551232,-73.629842,39
14S-193-01-E,45.542438,-73.629093,11
14S-162-01-E,45.466529,-73.63084,28
14S-193-01-O,45.543325,-73.628904,45
14S-356-SO-E,45.462633,-73.630848,89
14S-105-01-E,45.462633,-73.630848,8
14S-102-01-O,45.476737,-73.630368,13
14S-357-01-N,45.57171,-73.627213,38
14S-67-JO-N,45.57171,-73.627213,29
14S-41-01-O,45.57171,-73.627213,37
14S-357-01-S,45.571637,-73.62768,11
14S-67-JO-S,45.571637,-73.62768,12
14S-41-01-E,45.571637,-73.62768,24
14S-129-SO-N,45.496518,-73.629508,40
14S-129-S2-N,45.496518,-73.629508,45
14S-129-JO-N,45.496518,-73.629508,45
14S-193-01-O,45.544994,-73.627726,44
14S-193-01-E,45.544751,-73.627628,13
14S-365-01-S,45.52466,-73.62798,32
14S-371-01-S,45.483544,-73.629505,50
14S-17-01-S,45.483544,-73.629505,29
14S-102-01-E,45.478259,-73.628796,18
14S-138-01-O,45.463652,-73.628509,34
14S-104-01-O,45.463652,-73.628509,29
14S-138-01-O,45.463956,-73.629242,35
14S-104-01-O,45.463956,-73.629242,30
14S-439-LV-S,45.581333,-73.625308,12
14S-439-L2-S,45.581333,-73.625308,3
14S-439-AM-S,45.581333,-73.625308,25
14S-355-01-S,45.581333,-73.625308,20
14S-139-JO-S,45.581333,-73.625308,15
14S-41-01-O,45.581333,-73.625308,6
14S-63-01-S,45.480989,-73.628554,7
14S-193-01-O,45.546554,-73.626385,43
14S-129-SO-S,45.498467,-73.62756,12
14S-129-S2-S,45.498467,-73.62756,13
14S-129-JO-S,45.498467,-73.62756,13
14S-166-PM-S,45.485101,-73.627765,12
14S-166-L2-S,45.485101,-73.627765,12
14S-166-JO-S,45.485101,-73.627765,15
14S-51-JO-E,45.485101,-73.627765,23
14S-361-01-S,45.541682,-73.62628,20
14S-31-01-S,45.541682,-73.62628,21
14S-160-01-O,45.512394,-73.626799,30
14S-368-01-O,45.489761,-73.627154,61
14S-124-01-N,45.489761,-73.627154,22
14S-435-JO-O,45.527933,-73.626189,7
14S-179-01-S,45.527933,-73.626189,28
14S-80-01-S,45.527933,-73.626189,8
14S-372-SO-E,45.524013,-73.625832,22
14S-372-LC-E,45.524013,-73.625832,22
14S-179-01-N,45.524013,-73.625832,7
14S-92-JO-E,45.524013,-73.625832,26
14S-66-PM-N,45.47898,-73.626487,27
14S-66-JO-N,45.47898,-73.626487,24
14S-371-01-N,45.482721,-73.626356,26
14S-17-01-N,45.482721,-73.626356,20
14S-420-AM-E,45.464783,-73.626775,9
14S-356-SO-E,45.464783,-73.626775,91
14S-138-01-E,45.464783,-73.626775,20
14S-105-LC-E,45.464783,-73.626775,1
14S-105-01-E,45.464783,-73.626775,10
14S-370-01-E,45.507681,-73.625547,32
14S-161-01-E,45.507681,-73.625547,30
14S-372-SO-E,45.525619,-73.624946,23
14S-372-LC-E,45.525619,-73.624946,23
14S-365-01-S,45.525619,-73.624946,33
14S-179-01-N,45.525619,-73.624946,8
14S-92-JO-E,45.525619,-73.624946,27
14S-129-SO-N,45.500921,-73.625691,37
14S-129-S2-N,45.500921,-73.625691,42
