stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
2701442,56660,de l'Ile-des-Soeurs/ Elgar,45.455899,-73.544135,http://m.stm.info/fr/horaires/arrets/56660/bus,1
2701452,56662,Berlioz / de l'Île-des-Soeurs,45.459773,-73.544188,http://m.stm.info/fr/horaires/arrets/56662/bus,0
2701474,56663,de l'Île-des-Soeurs / Darwin,45.456380,-73.543015,http://m.stm.info/fr/horaires/arrets/56663/bus,1
2701544,56669,Wellington / Argyle,45.452752,-73.567835,http://m.stm.info/fr/horaires/arrets/56669/bus,1
2701620,56671,chemin du Golf / No 500,45.466771,-73.549619,http://m.stm.info/fr/horaires/arrets/56671/bus,1
2701699,56678,chemin du Golf / No 1050,45.464348,-73.554612,http://m.stm.info/fr/horaires/arrets/56678/bus,0
2701719,56680,chemin du Golf / No 1060,45.462835,-73.554863,http://m.stm.info/fr/horaires/arrets/56680/bus,1
2701784,56685,Station Verdun (de Verdun / Willibrord),45.459163,-73.5716,http://m.stm.info/fr/horaires/arrets/56685/bus,1
2701839,56688,Station LaSalle,45.470739,-73.567194,http://m.stm.info/fr/horaires/arrets/56688/bus,0
2701898,56689,Galt / Champlain,45.462405,-73.578592,http://m.stm.info/fr/horaires/arrets/56689/bus,1
2701901,56690,Station De l'Église (de l'Église / Ross),45.462798,-73.565794,http://m.stm.info/fr/horaires/arrets/56690/bus,1
2702055,56695,René-Lévesque / Berlioz,45.467201,-73.537785,http://m.stm.info/fr/horaires/arrets/56695/bus,1
2702187,56700,de l'Île-des-Soeurs / Berlioz,45.458765,-73.544043,http://m.stm.info/fr/horaires/arrets/56700/bus,1
2702252,60702,LaSalle / Riverview,45.446480,-73.572955,http://m.stm.info/fr/horaires/arrets/60702/bus,0
2702357,56709,LaSalle / Caisse,45.470068,-73.568136,http://m.stm.info/fr/horaires/arrets/56709/bus,1
2702547,56713,Joseph / Strathmore,45.468605,-73.572035,http://m.stm.info/fr/horaires/arrets/56713/bus,1
2702603,56717,LaSalle / Strathmore,45.468850,-73.567333,http://m.stm.info/fr/horaires/arrets/56717/bus,1
2800004,56724,Benoît / Ménard,45.437753,-73.630285,http://m.stm.info/fr/horaires/arrets/56724/bus,0
2800094,56725,Centrale / Terrasse Centrale,45.416991,-73.634042,http://m.stm.info/fr/horaires/arrets/56725/bus,1
2800350,56729,Senkus / Carrefour Angrignon,45.445886,-73.618313,http://m.stm.info/fr/horaires/arrets/56729/bus,1
2800509,56733,Bergevin / No 318,45.430670,-73.654325,http://m.stm.info/fr/horaires/arrets/56733/bus,1
2800914,56740,Saint-Patrick / Dupras,45.432875,-73.660909,http://m.stm.info/fr/horaires/arrets/56740/bus,1
2800924,56742,Airlie / Riverview,45.427175,-73.660688,http://m.stm.info/fr/horaires/arrets/56742/bus,0
2800953,56748,Stirling / Dalmany,45.429733,-73.658598,http://m.stm.info/fr/horaires/arrets/56748/bus,1
2800963,56749,Stirling / Airlie,45.427410,-73.658571,http://m.stm.info/fr/horaires/arrets/56749/bus,1
2800974,56752,LaSalle / Stirling,45.425109,-73.658627,http://m.stm.info/fr/horaires/arrets/56752/bus,1
2800992,56753,LaSalle / des Oblats,45.423309,-73.655942,http://m.stm.info/fr/horaires/arrets/56753/bus,1
2801041,56757,Bergevin / Clément,45.434663,-73.653544,http://m.stm.info/fr/horaires/arrets/56757/bus,1
2801061,56761,Bergevin / des Oblats,45.429991,-73.653241,http://m.stm.info/fr/horaires/arrets/56761/bus,1
2801085,56766,LaSalle / Lafleur,45.4208,-73.651192,http://m.stm.info/fr/horaires/arrets/56766/bus,0
2801121,56770,Lafleur / Newman,45.424831,-73.649801,http://m.stm.info/fr/horaires/arrets/56770/bus,0
2801154,56776,Clément / Louis-Fortier,45.433542,-73.648870,http://m.stm.info/fr/horaires/arrets/56776/bus,1
2801163,56777,Lafleur / Wanklyn,45.428475,-73.648361,http://m.stm.info/fr/horaires/arrets/56777/bus,1
2801174,56780,Centrale / Orchard,45.421949,-73.648064,http://m.stm.info/fr/horaires/arrets/56780/bus,0
2801186,56783,Lafleur / Jean-Milot,45.430928,-73.646979,http://m.stm.info/fr/horaires/arrets/56783/bus,0
2801194,56785,Centrale / Eastman,45.420962,-73.647278,http://m.stm.info/fr/horaires/arrets/56785/bus,1
2801202,56787,Clément / Lafleur,45.433088,-73.645814,http://m.stm.info/fr/horaires/arrets/56787/bus,1
2801293,56793,Centrale / 90e Avenue,45.418713,-73.643887,http://m.stm.info/fr/horaires/arrets/56793/bus,0
2801312,56798,Clément / d'Amour,45.432381,-73.642318,http://m.stm.info/fr/horaires/arrets/56798/bus,1
2801314,56799,Clément / d'Amour,45.432328,-73.642835,http://m.stm.info/fr/horaires/arrets/56799/bus,0
2801332,56802,Jean-Milot / Trudeau,45.429399,-73.641348,http://m.stm.info/fr/horaires/arrets/56802/bus,1
2801342,56804,90e Avenue / Airlie,45.423228,-73.641589,http://m.stm.info/fr/horaires/arrets/56804/bus,1
2801344,56805,90e Avenue / Airlie,45.422864,-73.641523,http://m.stm.info/fr/horaires/arrets/56805/bus,1
2801353,56808,Dollard / Hull,45.436358,-73.641276,http://m.stm.info/fr/horaires/arrets/56808/bus,0
2801374,56810,Clément / Trudeau,45.431791,-73.640578,http://m.stm.info/fr/horaires/arrets/56810/bus,1
2801444,56813,Centrale / Cavelier-De LaSalle,45.416952,-73.639987,http://m.stm.info/fr/horaires/arrets/56813/bus,1
2801464,56817,Newman / 90e Avenue,45.428894,-73.639120,http://m.stm.info/fr/horaires/arrets/56817/bus,1
2801546,56827,Dollard / Newman,45.431236,-73.635389,http://m.stm.info/fr/horaires/arrets/56827/bus,0
2801554,56829,Airlie / 80e Avenue,45.421486,-73.635280,http://m.stm.info/fr/horaires/arrets/56829/bus,1
2801564,56831,Saint-Patrick / Lapierre,45.444769,-73.634589,http://m.stm.info/fr/horaires/arrets/56831/bus,1
2801582,56833,Newman / Dollard,45.430873,-73.634342,http://m.stm.info/fr/horaires/arrets/56833/bus,1
2801585,56835,Newman / Dollard,45.430737,-73.633912,http://m.stm.info/fr/horaires/arrets/56835/bus,1
2801591,56837,Lise / Benoît,45.435118,-73.632341,http://m.stm.info/fr/horaires/arrets/56837/bus,0
2801614,56840,Cordner / Chopin,45.440485,-73.631318,http://m.stm.info/fr/horaires/arrets/56840/bus,0
2801634,56842,Benoît / Rousseau,45.436665,-73.631271,http://m.stm.info/fr/horaires/arrets/56842/bus,0
2801711,56850,Shevchenko / Newman,45.432384,-73.629205,http://m.stm.info/fr/horaires/arrets/56850/bus,1
2801713,56852,Shevchenko / Newman,45.432480,-73.630427,http://m.stm.info/fr/horaires/arrets/56852/bus,0
1907002,55896,Saint-Louis / Alexis-Nihon,45.500339,-73.682487,http://m.stm.info/fr/horaires/arrets/55896/bus,0
1907084,55901,Station Côte-Vertu (Côte-Vertu / Décarie),45.513676,-73.683324,http://m.stm.info/fr/horaires/arrets/55901/bus,1
1907219,55906,Décarie / Côte-de-liesse,45.504815,-73.665158,http://m.stm.info/fr/horaires/arrets/55906/bus,0
3201554,61138,Hyman / Sunshine,45.491005,-73.800568,http://m.stm.info/fr/horaires/arrets/61138/bus,0
2902050,57299,Notre-Dame / Dawes,45.434407,-73.691163,http://m.stm.info/fr/horaires/arrets/57299/bus,1
2902069,57300,Notre-Dame / 29e Avenue,45.434614,-73.690540,http://m.stm.info/fr/horaires/arrets/57300/bus,0
2902190,57303,Saint-Joseph / No 31,45.440074,-73.653222,http://m.stm.info/fr/horaires/arrets/57303/bus,1
2902270,57310,Saint-Joseph / No 130,45.4379,-73.657578,http://m.stm.info/fr/horaires/arrets/57310/bus,1
2902314,57314,Côte-de-Liesse Sud / 46e Avenue,45.463167,-73.721257,http://m.stm.info/fr/horaires/arrets/57314/bus,1
2902349,57317,Provost / No 2750,45.441910,-73.688851,http://m.stm.info/fr/horaires/arrets/57317/bus,1
2902369,57319,Norman / No 1100,45.448153,-73.672411,http://m.stm.info/fr/horaires/arrets/57319/bus,0
2902434,57324,Louis-A.-Amos / Onésime-Gagnon,45.463114,-73.705064,http://m.stm.info/fr/horaires/arrets/57324/bus,0
2902451,57326,32e Avenue / Onésime-Gagnon,45.459670,-73.703830,http://m.stm.info/fr/horaires/arrets/57326/bus,0
2902461,57327,32e Avenue / J.-B.-Deschamps,45.457601,-73.700690,http://m.stm.info/fr/horaires/arrets/57327/bus,0
2902509,57330,55e Avenue / No 920,45.447753,-73.720311,http://m.stm.info/fr/horaires/arrets/57330/bus,0
2902519,57331,Saint-Antoine / face au centre d'accueil,45.439890,-73.689951,http://m.stm.info/fr/horaires/arrets/57331/bus,0
2902590,57333,Saint-Joseph / Voie ferrée C.P.,45.439238,-73.655321,http://m.stm.info/fr/horaires/arrets/57333/bus,1
2902674,57338,Victoria / 27e Avenue,45.436051,-73.688178,http://m.stm.info/fr/horaires/arrets/57338/bus,1
2902772,57344,Victoria / 33e Avenue,45.437727,-73.693349,http://m.stm.info/fr/horaires/arrets/57344/bus,1
